table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,en,Josuikan-mae (Josuikan Junior High School and High School),117 10,,,656708e9-a8bd-4157-aef8-01282551e8e5,
stops,stop_name,ko,조스이칸 마에,117 10,,,656708e9-a8bd-4157-aef8-01282551e8e5,
stops,stop_name,zh-cn,如水馆前,117 10,,,656708e9-a8bd-4157-aef8-01282551e8e5,
stops,stop_name,zh-tw,如水館前,117 10,,,656708e9-a8bd-4157-aef8-01282551e8e5,
stops,stop_name,ja,白方,118 1,,,4e430a40-f366-4590-a56d-e01fdb84000e,
stops,stop_name,ja-Hrkt,シラカタ,118 1,,,4e430a40-f366-4590-a56d-e01fdb84000e,
stops,stop_name,en,Shirakata,118 1,,,4e430a40-f366-4590-a56d-e01fdb84000e,
stops,stop_name,ko,시라카타,118 1,,,4e430a40-f366-4590-a56d-e01fdb84000e,
stops,stop_name,zh-cn,白方,118 1,,,4e430a40-f366-4590-a56d-e01fdb84000e,
stops,stop_name,zh-tw,白方,118 1,,,4e430a40-f366-4590-a56d-e01fdb84000e,
stops,stop_name,ja,白江,119 1,,,7974bc6f-0f22-441a-ae10-7a226bb2d7ed,
stops,stop_name,ja-Hrkt,シロエ,119 1,,,7974bc6f-0f22-441a-ae10-7a226bb2d7ed,
stops,stop_name,en,Shiroe,119 1,,,7974bc6f-0f22-441a-ae10-7a226bb2d7ed,
stops,stop_name,ko,시로에,119 1,,,7974bc6f-0f22-441a-ae10-7a226bb2d7ed,
stops,stop_name,zh-cn,白江,119 1,,,7974bc6f-0f22-441a-ae10-7a226bb2d7ed,
stops,stop_name,zh-tw,白江,119 1,,,7974bc6f-0f22-441a-ae10-7a226bb2d7ed,
stops,stop_name,ja,白江,119 2,,,d6c13333-bce0-498e-81ee-cc09cdf93c95,
stops,stop_name,ja-Hrkt,シロエ,119 2,,,d6c13333-bce0-498e-81ee-cc09cdf93c95,
stops,stop_name,en,Shiroe,119 2,,,d6c13333-bce0-498e-81ee-cc09cdf93c95,
