trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
ea55f669-1f9a-448b-9510-21b0afd63b26,08:12:00,08:12:00,5820 1,16,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:13:00,08:13:00,5810 1,17,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:13:00,08:13:00,5800 1,18,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:14:00,08:14:00,5790 1,19,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:14:00,08:14:00,5780 3,20,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:15:00,08:15:00,6030 1,21,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:15:00,08:15:00,6020 1,22,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:16:00,08:16:00,6010 1,23,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:17:00,08:17:00,6000 1,24,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:18:00,08:18:00,5990 1,25,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:18:00,08:18:00,5720 1,26,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:19:00,08:19:00,5980 1,27,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:20:00,08:20:00,5700 1,28,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:21:00,08:21:00,5690 1,29,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:21:00,08:21:00,25180 1,30,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:26:00,08:26:00,5680 3,31,熊野営業所,1,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:06:00,21:06:00,5970 1,1,熊野営業所,0,1,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:06:00,21:06:00,5960 1,2,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:06:00,21:06:00,5950 1,3,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:07:00,21:07:00,5940 1,4,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:08:00,21:08:00,5930 1,5,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:08:00,21:08:00,5920 1,6,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:09:00,21:09:00,5910 1,7,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:10:00,21:10:00,5900 1,8,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:10:00,21:10:00,5890 1,9,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:11:00,21:11:00,5880 1,10,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:11:00,21:11:00,5870 1,11,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:12:00,21:12:00,5860 1,12,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:12:00,21:12:00,5850 1,13,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:13:00,21:13:00,5840 1,14,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:13:00,21:13:00,5830 1,15,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:14:00,21:14:00,5820 1,16,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:15:00,21:15:00,5810 1,17,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:15:00,21:15:00,5800 1,18,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:16:00,21:16:00,5790 1,19,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:16:00,21:16:00,5780 3,20,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:17:00,21:17:00,6030 1,21,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:17:00,21:17:00,6020 1,22,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:18:00,21:18:00,6010 1,23,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:19:00,21:19:00,6000 1,24,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:20:00,21:20:00,5990 1,25,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:20:00,21:20:00,5720 1,26,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:21:00,21:21:00,5980 1,27,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:22:00,21:22:00,5700 1,28,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:23:00,21:23:00,5690 1,29,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:23:00,21:23:00,25180 1,30,熊野営業所,0,0,,
a80a5e9c-f615-4f83-9a88-23f13a14ad73,21:28:00,21:28:00,5680 3,31,熊野営業所,1,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:20:00,17:20:00,5970 1,1,熊野営業所,0,1,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:20:00,17:20:00,5960 1,2,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:20:00,17:20:00,5950 1,3,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:21:00,17:21:00,5940 1,4,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:22:00,17:22:00,5930 1,5,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:22:00,17:22:00,5920 1,6,熊野営業所,0,0,,
